u,g,r,i,z,specClass,redshift,zerr
19.286083,17.333029,16.128901,15.632439,15.248048,2,0.152766,1.9302E-4
16.877756,15.680718,15.128187,14.857263,14.600104,2,0.023671,1.01994E-4
19.383663,18.188665,17.423389,16.959417,16.664948,2,0.105491,1.01963E-4
18.79364,17.558762,17.099766,16.951853,16.859705,1,-3.40932E-4,6.38707E-5
19.929888,19.780739,19.37393,19.138756,19.293596,3,1.19851,9.90054E-4
19.225477,18.861685,18.417505,18.294485,18.093382,3,2.23419,1.46079E-3
19.234989,19.003227,18.956642,18.759964,18.709642,3,1.84493,1.99866E-3
19.423985,18.351549,17.829346,17.510189,17.276123,2,0.09275,8.88058E-5
19.055416,17.593399,16.794048,16.420185,16.13933,2,0.054114,1.97036E-4
19.639517,19.413027,19.322981,19.135231,18.967024,3,0.459716,1.3384E-3
19.451193,19.104424,19.061159,19.130798,19.339685,1,5.14573E-4,4.69476E-4
18.188955,17.893604,17.929335,17.844362,17.77787,3,0.478863,1.56449E-3
16.330452,14.959223,14.40857,14.089198,13.883699,2,0.024737,1.72309E-4
19.517422,19.280779,19.111208,19.147839,19.035477,3,0.958228,3.17816E-3
18.452547,17.159208,16.556383,16.196007,15.986976,2,0.078169,1.57231E-4
19.399145,17.926235,17.087248,16.666512,16.347857,2,0.10358,1.53863E-4
19.09115,17.111736,16.136877,15.698504,15.311743,2,0.075436,1.7713E-4
19.192543,17.539083,16.726135,16.278612,15.915092,2,0.091497,1.52732E-4
18.966717,17.568142,16.757454,16.372948,16.059816,2,0.081778,1.30069E-4
19.549086,18.91778,18.46027,18.12015,18.00009,2,0.208552,9.62908E-5
18.551441,16.695484,15.721271,15.215485,14.777557,2,0.055867,1.68507E-4
18.862608,17.626204,17.10643,16.686335,16.472206,2,0.091202,4.64398E-5
18.536522,17.342953,16.685968,16.253443,16.014744,2,0.1118,6.76765E-5
19.176172,18.746588,18.267694,18.273766,18.252413,3,1.24912,2.07195E-3
19.209316,18.046082,17.477753,17.097145,16.903313,2,0.083044,8.95033E-5
18.898806,17.850357,17.459154,17.17861,16.994125,2,0.076912,8.17631E-5
19.023411,17.72188,17.170378,16.882036,16.67374,2,0.05506,8.73064E-5
19.413218,18.039507,17.346123,16.94706,16.687826,2,0.094647,1.62293E-4
19.152649,17.7222,17.143642,16.780703,16.529104,2,0.078654,1.70035E-4
19.596245,18.127653,17.48053,17.106586,16.880424,2,0.064108,1.70367E-4
18.483116,17.243813,16.779188,16.479557,16.300858,2,0.085414,1.58728E-4
19.386463,18.291071,17.869038,17.680717,17.645546,1,-6.08405E-5,7.36799E-5
19.271511,18.89629,18.828962,18.881008,18.964724,1,-1.09517E-4,1.70766E-4
18.702549,17.289503,16.622381,16.267012,16.012819,2,0.037231,8.24894E-5
18.222078,18.187803,18.530304,18.880095,19.132084,1,1.58096E-4,2.25069E-4
19.408098,19.191021,18.972536,19.047701,19.102217,3,0.988927,1.49922E-3
19.326538,18.981808,18.899799,18.97753,18.817503,3,0.767587,1.33633E-3
19.458858,17.821035,16.935574,16.476591,16.174271,2,0.103884,9.45336E-4
19.122465,17.500591,16.660067,16.235865,15.925,2,0.090772,1.40135E-4
18.81905,17.611719,17.107729,16.895405,16.763733,1,1.38535E-4,7.09072E-5
19.589912,17.708736,16.782339,16.333923,16.00223,2,0.078967,1.52984E-4
20.444677,19.670788,19.163607,19.116104,19.070522,3,1.15181,1.87365E-3
18.293222,17.30628,16.899693,16.638348,16.505537,2,0.150551,6.13059E-5
18.366117,17.485762,17.229731,17.11396,17.108238,1,-3.13347E-4,8.50635E-5
18.513678,16.959486,16.180597,15.761062,15.44698,2,0.075436,1.73566E-4
19.438421,17.518578,16.522055,16.044704,15.670484,2,0.095109,1.53402E-4
18.976088,17.034138,16.122112,15.696887,15.38693,2,0.07541,1.59684E-4
19.534855,18.270508,17.661291,17.287828,17.071846,2,0.097426,8.18549E-5
18.912788,17.969698,17.560888,17.29899,17.16667,2,0.04222,7.54318E-5
19.445551,17.72501,16.717073,16.254227,15.86647,2,0.124017,1.44678E-4
19.38699,19.419176,19.022982,18.970383,19.123461,3,1.21819,1.19198E-3
19.438654,17.80512,16.872498,16.367952,16.035736,2,0.151024,1.87287E-4
19.242821,18.104877,17.485174,17.153305,16.914146,2,0.146368,1.14073E-4
19.25963,19.066488,18.882214,18.877991,18.793306,3,2.12486,2.47239E-3
19.110596,17.082163,16.098223,15.656769,15.309806,2,0.079467,1.73661E-4
18.485346,16.644926,15.804235,15.412657,15.102998,2,0.045851,1.65302E-4
19.45188,17.991295,17.167034,16.689669,16.39208,2,0.085657,1.65574E-4
18.817501,16.82098,15.789371,15.329447,14.96234,2,0.114014,1.71367E-4
18.119844,15.845657,14.810664,14.350068,14.036092,2,0.092259,2.2098E-4
18.688995,17.750944,17.295855,17.024588,16.948477,2,0.026855,9.47604E-5
18.958801,17.847431,17.430716,17.27268,17.188076,1,-8.48437E-4,7.31382E-5
19.541113,17.592312,16.577694,16.065233,15.605545,2,0.094099,1.46536E-4
18.369768,18.123638,17.907358,17.869793,17.772358,3,0.951132,1.6628E-3
19.030832,18.66297,18.539354,18.32523,18.096516,3,0.439329,1.59686E-4
18.058054,16.37352,15.584735,15.222106,14.938745,2,0.062608,1.53777E-4
19.061377,17.963909,17.548342,17.235132,17.1036,2,0.076321,8.24576E-5
18.131287,16.386044,15.639193,15.235475,14.92605,2,0.078577,1.29139E-4
18.937712,17.93486,17.537462,17.211922,17.161024,2,0.105701,4.73686E-5
19.184174,17.210251,16.212521,15.769655,15.421844,2,0.106135,1.64229E-4
19.229721,17.926134,17.268566,16.863504,16.586617,2,0.091728,4.78436E-5
18.029301,17.029213,16.715843,16.463863,16.37355,2,0.061544,7.81855E-5
17.949892,16.202263,15.320169,14.816383,14.389301,2,0.036135,1.01191E-4
19.128033,18.559561,18.288656,17.925518,18.017962,2,0.106041,7.78888E-4
19.645279,19.056168,18.372141,17.926735,17.767927,3,0.205448,9.41676E-4
21.697363,21.093004,20.463173,20.335354,19.802753,3,1.13822,1.34873E-3
19.409523,17.491268,16.193182,15.662671,15.285717,2,0.154527,1.82395E-4
18.793633,17.519302,16.846653,16.397362,16.137766,2,0.106666,1.16624E-4
18.62392,17.33536,16.769829,16.427979,16.279127,2,0.097216,1.88682E-4
19.418863,17.544571,16.542213,16.109468,15.775084,2,0.104417,1.41781E-4
18.677872,17.339481,16.819698,16.507463,16.270491,2,0.062492,1.65778E-4
19.402081,17.409576,16.339596,15.857603,15.442048,2,0.112166,1.79711E-4
18.667969,17.603128,17.224573,16.944204,16.81188,2,0.076928,7.67399E-5
18.018034,16.972887,16.487968,16.181335,15.951889,2,0.041638,7.49501E-5
19.505001,17.51947,16.504597,16.052555,15.686924,2,0.114472,1.68874E-4
18.940174,18.650202,18.568981,18.556183,18.627819,3,1.3208,1.58568E-3
19.002203,17.129869,16.234921,15.840342,15.552172,2,0.084163,1.48538E-4
19.963484,19.654579,19.221619,19.043819,19.055464,3,1.4115,1.7415E-3
18.343739,17.590534,17.2295,16.904869,16.811165,2,0.143589,4.59401E-5
18.567501,17.249233,16.593952,16.225304,15.938626,2,0.045838,9.9101E-5
19.380749,17.42248,16.479498,16.084232,15.73264,2,0.096118,1.42E-4
20.502268,20.14617,19.61833,19.252811,18.831083,3,2.10648,2.14819E-3
18.639837,18.508545,18.249229,18.17462,18.061337,3,1.09458,1.64425E-3
18.89628,18.881376,18.902607,18.573004,18.449026,3,1.89735,1.54032E-3
19.337976,18.078548,17.441244,17.044744,16.848822,2,0.089684,1.84765E-4
20.22611,19.831671,19.356543,18.883986,18.789707,3,1.65313,2.86784E-3
18.961952,18.631256,18.254059,18.168129,17.564068,3,0.294296,1.1905E-3
19.113882,17.816612,17.287849,16.941353,16.778042,2,0.078293,8.2819E-5
17.834583,17.282072,17.119215,17.267015,17.408272,2,5.75255E-3,1.04134E-3
18.713568,18.492554,18.368193,18.135641,17.928993,3,2.08099,1.94004E-3
18.554102,17.251213,16.78031,16.761164,16.533794,1,-6.52355E-5,6.55462E-5
18.353943,16.734219,15.835639,15.323852,14.9607,2,0.055842,1.78916E-4
19.654449,19.32193,18.914251,18.605057,18.352343,3,0.453009,1.2043E-3
19.406731,18.249043,17.536686,17.170084,16.988287,2,0.169541,8.46162E-5
17.997406,16.877264,16.388868,16.067894,15.825102,2,0.075216,1.06681E-4
19.312656,17.287914,16.196461,15.714973,15.3338,2,0.119326,1.48899E-4
18.904488,17.311583,16.441799,15.972276,15.622728,2,0.093346,1.34864E-4
19.200153,18.233402,17.773746,17.586937,17.47937,1,-2.48848E-4,7.20818E-5
19.142952,17.471182,16.588058,16.159025,15.828022,2,0.09143,1.43775E-4
19.287519,19.003561,18.760801,18.592379,18.391396,3,0.416565,1.02258E-3
19.577354,17.554964,16.616804,16.191423,15.850855,2,0.091469,1.37562E-4
17.980772,17.64311,17.635994,17.475845,17.495195,3,0.528241,1.42383E-3
19.317017,18.688599,18.563511,18.252003,18.176687,3,0.517886,1.03993E-3
19.411552,18.310677,17.585009,17.193623,16.965647,2,0.1146,1.58224E-4
17.963905,16.876728,16.473595,16.07432,15.945166,2,0.067924,4.40147E-5
19.436392,18.356812,17.937735,17.771973,17.721308,1,-1.96683E-4,6.9218E-5
18.246418,17.118681,16.572546,16.160463,15.969838,2,0.119091,9.06721E-5
19.578724,17.903658,16.97595,16.525536,16.163591,2,0.094885,1.54791E-4
19.256092,18.140247,17.532364,17.092772,16.860579,2,0.127684,6.1878E-5
18.59877,17.13703,16.412868,15.9961,15.745208,2,0.09662,1.77852E-4
18.994219,18.653189,18.677834,18.487299,18.091213,3,0.403824,1.48267E-3
18.894245,16.974171,15.976748,15.558027,15.221393,2,0.135465,1.44219E-4
18.691309,17.453701,16.782177,16.426411,16.162827,2,0.076705,1.50062E-4
19.963099,19.902987,19.748892,19.437639,19.313646,3,1.9685,3.2499E-3
19.68771,19.563864,19.30345,19.005978,18.800657,3,1.92183,2.21203E-3
19.335396,19.52585,19.221598,19.15205,19.160475,3,1.42159,1.99535E-3
16.931019,15.626911,15.313819,15.218703,15.195229,1,1.01902E-5,7.59833E-5
19.080715,18.510942,18.301466,18.254751,18.285343,1,1.13146E-3,3.64402E-4
19.139315,17.339783,16.369362,15.911883,15.581584,2,0.078134,1.69105E-4
18.847998,18.069792,17.592123,17.233147,17.084612,2,0.105477,8.47205E-5
